Id,Score
74010,16
74113,35
74148,94
74162,89
81180,44
81214,7
81236,29
81260,65
86780,179
86824,44
86878,27
87107,17
95419,89
95492,29
95578,25
95600,31
95635,231
95731,32
95800,70
95820,58
95875,25
95895,45
95910,132
95967,49
104516,62
104599,46
104601,91
104612,271
104640,57
104850,159
104854,93
104953,122
105014,342
112396,285
112433,108
112503,46
112698,106
112796,72
120022,33
120083,35
120283,66
120438,137
127932,484
128035,320
128038,63
128239,9
134569,56
134572,25
134712,34
134727,117
134731,54
134746,218
134833,45
134845,2689
134858,23
134882,1352
134905,110
134906,479
134934,284
143122,54
143130,53
143171,135
143174,146
143321,104
143390,39
143405,404
143420,26
150505,188
150552,15
150577,29
150750,219
150814,16
157747,50
157786,57
157933,95
157938,68
157944,1751
158044,149
158070,319
158151,65
166089,194
166132,279
166160,118
166220,89
166221,1855
166298,47
166340,58
166347,144
166506,256
174582,30
174727,8
174773,8
174942,151
174968,167
181990,103
182035,8
182060,21
182197,172
182393,95
182410,19
189850,93
189943,77
196345,103
196357,109
196498,58
196684,824
196702,112
196830,144
203336,115
203399,55
203493,158
203495,60
203528,66
203616,171
203695,204
209905,647
210120,442
210171,99
210201,140
210250,57
210342,6
215497,1375
215515,38
215548,283
215718,1806
222276,15
222309,139
222414,134
222557,245
228969,151
228987,45
229010,12
229015,24
235839,1458
235851,39
235855,50
235967,17
236073,186
236129,1682
243351,43
243385,112
243572,17
243646,35
243752,18
249074,41
249087,236
249103,32
249222,314
249251,29
255202,551
255214,170
255312,113
255341,90
255414,325
255511,31
255612,42
261963,151
262141,8
262156,48
262280,69
269268,59
269496,98
275761,29
275781,333
275878,48
275891,21
275931,155
275944,267
275994,60
276052,123
282099,353
282118,41
288699,68
288715,400
288739,36
288850,25
288861,301
288867,7
288894,5
288900,62
288984,39
288988,18
289010,74
295348,27
295386,39
295448,9
295472,63
295538,88
295579,794
295589,136
301371,840
301473,71
301484,34
301536,85
301546,33
307352,117
307438,94
307486,34
307503,232
307512,65
307553,92
307579,493
307596,23
307636,21
307650,75
307674,127
307679,39
307688,125
312881,17
312936,52
313093,2
313111,248
319899,12
319973,168
320028,25
320078,96
320089,77
320184,130
320281,33
320291,71
326650,50
326699,69
326818,58
326937,11
333363,76
333441,76
333443,87
339483,224
339537,26
339603,34
339699,130
346467,72
346536,235
346613,98
346659,174
353014,28
353126,77
353161,22
358700,64
358874,180
358951,178
359047,543
365125,13
365191,125
365312,44
365370,47
365489,246
371753,45
371875,87
371987,63
372042,259
378574,25
378620,19
378829,47
378927,135
378959,353
384759,56
385023,90
385042,107
390900,186
390932,35
391005,849
391130,45
397148,180
403421,249
403478,113
410227,202
9,1206
11,1004
13,388
14,249
16,57
48,168
90,137
123,65
129,59
10499,45
10564,339
10580,54
10616,75
10635,57
10658,70
10825,32
10848,399
10855,622
10877,70
10990,27
19589,49
19604,28
19766,24
19772,87
19893,82
19995,98
20084,72
20088,22
20148,654
20206,42
29324,4
29383,47
29426,125
29482,1561
29516,58
29539,162
29626,20
29664,74
38960,98
38987,1523
39086,148
46663,159
46788,11
46827,42
46898,1291
46918,53
47007,96
47045,192
47089,94
47177,103
54909,92
54989,19
54991,108
55083,16
55342,22
55363,40
55375,60
62503,272
62567,44
62570,199
62618,38
62658,5
62771,121
62814,390
62929,56
70272,43
70324,947
70402,178
70405,57
70528,308
70579,1120
70689,472
78468,20
78536,1192
78811,70
87794,54
87821,111
87950,243
88235,975
88311,477
97137,47
97197,891
97371,43
97454,99
97459,120
97522,149
105031,49
105034,1959
105212,70
105252,121
105372,2044
105418,83
105546,47
105572,48
114814,90
114830,77
114884,42
114983,343
115008,80
115045,136
122404,60
122407,270
122616,110
122641,251
122690,66
122799,11
130112,45
130116,49
130117,147
130193,24
130354,159
130396,778
130404,88
138313,94
138321,39
138361,122
138422,124
138449,11
138493,11
138497,156
138511,167
138521,88
138575,17
138600,224
138669,94
138670,68
145110,119
145154,335
145176,106
145270,232
145304,114
145312,82
153527,51
153573,103
153598,60
153633,58
160045,113
160233,114
160370,48
168214,259
168236,20
168280,5
168409,44
168427,84
175532,309
175554,78
175579,81
175655,227
175739,397
175881,40
175951,126
175962,152
183161,141
183214,54
183254,87
183292,85
183316,95
183406,183
188850,13
188963,47
189094,44
189113,126
189213,65
194652,81
194666,81
194698,60
194765,68
194846,79
194852,820
194930,62
195008,72
202463,108
202481,118
202538,54
202605,228
202813,205
202824,1
209160,161
209170,270
209301,21
209383,308
209458,7
209470,180
216781,73
216823,413
216833,50
216875,65
216894,346
216972,93
216995,171
217065,91
217070,30
230401,58
230407,9
230454,7
230649,88
230662,26
230751,519
237938,32
237987,56
238002,291
238008,36
238036,48
238073,196
238081,129
238260,68
238267,91
238284,127
245698,116
245742,80
245825,111
252665,44
252703,1265
252748,82
252780,186
252782,176
252785,279
252856,70
252893,53
253030,47
253055,348
259956,134
260098,153
260165,121
267488,130
267658,90
267704,43
267724,119
267804,15
267838,37
273141,161
273145,114
273159,255
273192,1423
273238,177
273262,240
273313,408
273354,104
273437,73
